LineNo.,PackageID,Product,Quantity,Expiration Date
1,1A41103000026D000007078,Alpine Strawberry - 2.0g (T PRO) (Vape Carts),72,08/09/26
2,1A41103000026D000007079,Berry Haze -1.0g (510) (Vape Carts),48,02/05/27
3,1A41103000026D000007080,Berry Haze -1.0g (T) (Vape Carts),96,08/12/26
4,1A41103000026D000007081,Berry Haze -2.0g (T PRO) (Vape Carts),96,08/16/26
5,1A41103000026D000007082,Blueberry Cake -1.0g (T) (Vape Carts),48,08/09/26
6,1A41103000026D000007083,Cuban Black Haze - 1.0g (T) (Vape Carts),24,08/10/26
7,1A41103000026D000007084,Elderflower - 1.0g (510) (Vape Carts),24,07/23/26
8,1A41103000026D000007085,Headband - 1.0g (T) (Vape Carts),48,08/20/26
9,1A41103000026D000007086,King Louie -1.0g (T) (Vape Carts),48,08/20/26
10,1A41103000026D000007087,Mandarin Orange -1.0g (510) (Vape Carts),72,02/05/27
11,1A41103000026D000007088,Mandarin Orange -1.0g (T) (Vape Carts),96,08/17/26
12,1A41103000026D000007089,Mandarin Orange - 2.0g (T PRO) (Vape Carts),96,08/20/26
13,1A41103000026D000007090,Red Headed Stranger -1.0g (510) (Vape Carts),48,02/05/27
14,1A41103000026D000007091,Red Headed Stranger - 2.0g (T PRO) (Vape Carts),96,08/03/26
15,1A41103000026D000007092,Sour Diesel -1.0g (T) (Vape Carts),144,08/03/26
16,1A41103000026D000007093,Space Queen - 2.0g (T PRO) (Vape Carts),96,08/03/26
17,1A41103000026D000007094,Stonefruit - 2.0g (T PRO) (Vape Carts),72,08/12/26
18,1A41103000026D000007095,White Widow - 2.0g (T PRO) (Vape Carts),96,08/12/26
