invoice_id,vendor,store_id,invoice_date,sku,qty,unit_price,extended
INV-001,GreenLeaf Farms,store-001,2026-03-01,GLF-001-A,50,12.50,625.00
INV-001,GreenLeaf Farms,store-001,2026-03-01,GLF-002-B,25,18.75,468.75
INV-001,GreenLeaf Farms,store-001,2026-03-01,GLF-005-C,100,8.99,899.00
INV-002,Thrive Botanicals,store-002,2026-03-02,THR-101-X,30,22.00,660.00
INV-002,Thrive Botanicals,store-002,2026-03-02,THR-102-Y,75,14.25,1068.75
INV-003,PureRoots Co,store-001,2026-03-03,PRC-050-Z,40,19.99,799.60
INV-003,PureRoots Co,store-001,2026-03-03,PRC-051-W,60,11.50,690.00
INV-004,SunnyValley Extracts,store-003,2026-03-04,SVE-201-P,20,35.00,700.00
INV-004,SunnyValley Extracts,store-003,2026-03-04,SVE-202-Q,15,42.50,637.50
INV-005,GreenLeaf Farms,store-002,2026-03-05,GLF-003-D,80,9.75,780.00
INV-005,GreenLeaf Farms,store-002,2026-03-05,GLF-004-E,45,16.25,731.25
INV-006,Thrive Botanicals,store-001,2026-03-06,THR-103-R,35,20.75,726.25
INV-007,PureRoots Co,store-003,2026-03-07,PRC-052-V,25,24.99,624.75
INV-008,SunnyValley Extracts,store-002,2026-03-08,SVE-203-T,50,13.00,650.00
INV-009,GreenLeaf Farms,store-003,2026-03-09,GLF-006-F,90,7.85,706.50
INV-010,Thrive Botanicals,store-001,2026-03-10,THR-104-U,28,28.50,798.00
INV-011,PureRoots Co,store-002,2026-03-11,PRC-053-S,55,15.75,866.25
INV-012,SunnyValley Extracts,store-001,2026-03-12,SVE-204-M,18,39.99,719.82
INV-013,GreenLeaf Farms,store-003,2026-03-13,GLF-007-G,65,10.99,713.35
INV-014,Thrive Botanicals,store-002,2026-03-14,THR-105-N,42,23.25,976.50
